"AE:United Arab Emirates","N:Nominal","628:Index, 2010 = 100","Q:AE:N:628","2015-Q4",150.25
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2004-Q1",8.77
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2004-Q2",16.01
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2004-Q3",23.3
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2004-Q4",25.34
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2005-Q1",15.6
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2005-Q2",11.51
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2005-Q3",9.45
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2005-Q4",5.83
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2006-Q1",11.28
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2006-Q2",13.77
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2006-Q3",21.41
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2006-Q4",20.78
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2007-Q1",22.1
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2007-Q2",25.18
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2007-Q3",25.89
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2007-Q4",37.99
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2008-Q1",39.14
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2008-Q2",40.22
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2008-Q3",30.34
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2008-Q4",9.26
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2009-Q1",-8.99
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2009-Q2",-20.77
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2009-Q3",-24.75
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2009-Q4",-19.65
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2010-Q1",-15.96
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2010-Q2",-13.06
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2010-Q3",-12.43
"AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","2010-Q4",-13.06
